,CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
166,PS15bdr,150,0.07116,0.00089,0.07094,1e-05,0.07096,1e-05,18.1022,0.194143,37.3552,0.196012,-9.0,0,0,-0.007798,0.044806,-2.30724,0.25964,18.3636,0.0457289,0.000810159,3.41e-05,-0.00117266,-1.58e-06,-1.25e-06,253.706,36.7252,253.705566,36.727549,8.548617738541019,-60.5418,250,0.0137885,10.5352,0.001,57215.8,0.1744,14,9.64479,0.78766,0.1187,0.0281,-0.1073,0.005,1.0,0.003
167,PS15bwh,150,0.07158,0.00099,0.07149,0.00043,0.07267,0.00043,17.9964,0.158791,37.2494,0.16107,-9.0,0,1,-0.081314,0.037564,0.71915,0.21376,17.6874,0.0416184,0.00151018,5.79e-05,-0.00119804,-2.16e-06,-1.77e-06,352.644,-18.8915,,,,-27.116,250,0.0247259,10.6434,0.1,57279.0,0.1461,12,12.0761,0.43959,0.0996,0.0311,-0.0038,0.002,1.0,0.001
168,PS15mt,150,0.07193,0.0009,0.07193,9e-05,0.07085,9e-05,18.3088,0.178788,37.5618,0.180815,-9.0,0,0,-0.075972,0.036821,1.6136,0.30109,17.9245,0.0387218,0.00121393,4.33e-05,-0.000999856,-2.89e-06,-1.24e-06,148.684,23.1981,148.684439,23.197789,1.8340162547363343,-2.2308,250,0.0211722,8.92458,0.047,57105.8,0.2918,8,10.9257,0.20595,0.1063,0.0281,0.0363,0.003,1.0,0.003
169,PS15atx,150,0.07252,0.00093,0.07301,0.00027,0.07188,0.00027,18.3695,0.303565,37.6225,0.304764,-9.0,0,0,-0.180099,0.056028,-1.43738,0.89472,18.1952,0.0833423,0.000946063,7.26e-05,-0.00481805,-1.65e-06,-2.98e-06,195.827,-23.0658,195.827881,-23.065757,2.922150342383592,136.355,250,0.10591,10.2531,0.001,57192.9,1.091,7,17.686,0.0237078,0.1955,0.0288,0.1181,0.007,1.0,0.001
170,Gaia16aki,150,0.07393,0.0009,0.07398,1e-05,0.07363,1e-05,18.3005,0.174425,37.5535,0.176502,-9.0,0,1,-0.087634,0.039528,0.59125,0.24591,18.0217,0.0483116,0.00110996,4.94e-05,-0.00261645,1.89e-06,-1.55e-06,239.794,14.6416,239.793233,14.641577,2.672817618975109,15.2964,250,0.03679,9.48062,0.013,57490.7,0.5723,34,61.2757,0.00281181,0.1051,0.0274,0.027,0.002,1.0,0.003
171,PS17bii,150,0.07446,0.0009,0.07467,2e-05,0.07339,2e-05,18.1971,0.190211,37.4501,0.192118,-9.0,0,1,-0.096392,0.046147,-0.890865,0.37518,18.1038,0.0610157,0.00102917,5.78e-05,-0.000339057,-3.79e-06,-1.98e-06,171.409,7.3336,171.409888,7.334449,4.403927326974977,58.3422,250,0.0661965,10.167,0.002,57811.8,0.3857,10,20.1152,0.028182,0.1254,0.0272,0.0209,0.002,1.0,0.001
172,AT2016gsu,150,0.07575,0.0009,0.07529,6e-05,0.07642,6e-05,18.2931,0.215486,37.5461,0.217171,-9.0,0,0,-0.113501,0.047352,-1.91024,0.56839,18.3234,0.0527962,0.000840729,4.09e-05,0.00184845,-4.95e-06,-1.49e-06,17.1024,21.1516,17.10221,21.15181,0.9891788304874127,-129.563,250,0.0412907,9.75909,0.002,57671.2,0.5204,8,14.8491,0.0621465,0.1399,0.0267,0.047,0.008,1.0,0.003
173,PS15bif,150,0.07845,0.00094,0.07855,0.00027,0.07937,0.00027,18.3185,0.147949,37.5715,0.150392,-9.0,0,0,-0.025674,0.034789,0.31647,0.29993,18.2219,0.0569696,0.00092306,4.84e-05,0.00420445,-5.18e-06,-1.41e-06,305.074,-23.7435,,,,27.7549,250,0.060912,9.58141,0.003,57234.1,0.2451,20,32.6124,0.0371941,0.0672,0.027,-0.0229,0.003,1.0,0.005
174,Gaia16acv,150,0.07859,0.0009,0.07833,0.0001,0.07772,0.0001,18.5785,0.143561,37.8315,0.146078,-9.0,0,0,-0.158189,0.03143,0.56816,0.28287,18.1412,0.039335,0.000994257,3.6e-05,0.00108081,-2.47e-06,-9.59e-07,179.957,54.8022,179.957521,54.801986,1.3275148273477408,-72.0818,250,0.0102858,8.87001,0.093,57434.9,0.4251,29,45.7054,0.0250965,0.078,0.0258,0.0833,0.004,1.0,0.002
175,PS15bzz,150,0.07931,0.0009,0.07901,1e-05,0.08024,1e-05,18.277,0.14472,37.53,0.147217,-9.0,0,1,-0.017322,0.032914,-0.914595,0.23732,18.3565,0.0435549,0.000815449,3.27e-05,-0.000348888,-5.62e-07,-8.36e-07,9.4247,1.7628,9.423138,1.76718,16.73977963491556,-83.7337,250,0.0172497,10.4626,0.053,57284.3,0.5886,25,35.929,0.072684,0.0846,0.0256,-0.0543,0.002,1.0,0.002
176,SN2016glp,150,0.0841,0.00091,0.08366,0.00012,0.08493,0.00012,18.7156,0.219943,37.9686,0.221594,-9.0,0,1,0.13583,0.043539,0.96912,0.35372,18.8788,0.0668359,0.000504065,3.1e-05,0.00344815,-4.51e-06,-1.19e-06,354.058,23.696,354.05819,23.695907,0.7101977196289614,-121.995,250,0.0456357,10.5245,0.014,57658.8,0.2287,30,51.9536,0.00770469,0.096,0.0244,-0.1663,0.009,1.0,0.011
177,SN2016grz,150,0.08704,0.00103,0.08656,0.0005,0.08748,0.0005,18.5954,0.215122,37.8484,0.21681,-9.0,0,1,0.0535,0.038526,0.81158,0.42443,18.6515,0.0527016,0.000621466,3.02e-05,0.00409971,-3.69e-06,-9.76e-07,28.8874,33.8229,28.887566,33.822604,1.1755689664978828,-133.261,250,0.0425884,8.99392,0.027,57670.6,0.598,11,13.8319,0.24244,0.0923,0.0268,-0.042,0.007,1.0,0.012
178,iPTF17dz,150,0.09293,0.01004,0.09284,0.01,0.092,0.01,18.9696,0.492553,38.2226,0.493293,-9.0,0,1,0.11392,0.084127,1.72317,1.05757,19.0785,0.17485,0.000419383,6.75e-05,0.0426549,-5.49e-05,-5.14e-06,126.107,24.9978,126.106985,24.997716,0.306342550446095,-26.3455,250,0.0248646,8.80725,0.138,57767.8,0.9785,20,23.7412,0.30576,0.2082,0.245,-0.0416,0.021,1.0,0.016
